"line","trait_value","trait","reference"
287,0.247288271,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
301,0.995235841,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
303,1.48119177,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
304,1.361992089,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
306,1.344925616,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
307,2.43290228,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
309,1.077157577,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
310,1.660077014,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
313,1.695543183,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
315,1.545235549,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
317,1.518404252,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
318,1.190339335,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
319,1.148858321,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
320,1.582880265,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
321,0.705219409,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
324,1.330679761,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
325,0.226190731,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
332,0.792200798,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
335,0.654831238,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
336,1.194917194,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
338,0.319981012,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
340,1.330047999,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
348,-0.542221801,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
350,0.374562621,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
352,-0.367915059,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
354,0.535611691,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
355,1.137733621,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
356,0.592236747,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
357,1.890797009,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
358,0.235620493,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
359,1.96640719,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
360,0.800423339,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
361,2.316544701,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
362,1.015881466,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
365,2.188145119,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
367,1.251999644,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
370,0.626823118,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
371,-0.000439894,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
373,0.683107057,"ethanol.sensitivity.tolerance.M","Morozova el al. (2015) BMC Genomics"
